City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,magway,20.15,94.9167,30.65,56,1,4.08,MM,1681843500
231,minggang,32.4586,114.0486,19.33,83,100,3.1,CN,1681843500
232,sarandi grande,-33.7333,-56.3333,16.69,43,100,7.15,UY,1681843500
233,iranduba,-3.2847,-60.1861,29.16,76,97,1.72,BR,1681843500
234,piti village,13.4626,144.6933,27.49,84,75,9.77,GU,1681843500
235,sojat,25.9167,73.6667,26.76,40,53,4.81,IN,1681843500
236,saipan,15.1355,145.701,26.47,100,40,8.23,MP,1681843501
237,hun,29.1268,15.9477,21.57,27,2,3.84,LY,1681843501
238,nabire,-3.3667,135.4833,24.16,92,92,1.71,ID,1681843501
239,klyuchi,52.2667,79.1667,-2.25,97,100,1.28,RU,1681843502
240,sao felix do xingu,-6.6447,-51.995,28.67,81,100,0.79,BR,1681843502
241,ankazoabo,-22.2833,44.5167,23.62,64,53,1.5,MG,1681843502
242,arinos,-15.9169,-46.1056,32.71,37,99,3.12,BR,1681843502
243,cole harbour,44.6724,-63.4751,14.53,90,75,4.63,CA,1681843503
244,nuuk,64.1835,-51.7216,-1.66,86,100,5.14,GL,1681843314
245,ormara,25.2088,64.6357,27.44,47,100,6.63,PK,1681843503
246,novokubansk,45.117,41.0267,12.85,71,100,4.65,RU,1681843503
247,st. john's,47.5649,-52.7093,6.49,76,75,4.63,CA,1681843273
248,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,93,75,2.0,RU,1681843504
249,tiksi,71.6872,128.8694,-18.79,100,100,2.63,RU,1681843504
250,kobelyaky,49.1489,34.1965,10.55,71,100,3.74,UA,1681843505
251,la foa,-21.7108,165.8276,23.87,88,98,2.52,NC,1681843505
252,chonchi,-42.6128,-73.8092,14.56,91,100,1.8,CL,1681843506
253,insar,53.8653,44.3738,9.5,50,42,2.24,RU,1681843506
254,dauphin,51.1494,-100.0502,6.08,42,0,6.69,CA,1681843334
255,ostersund,63.1792,14.6357,10.25,37,0,1.03,SE,1681843508
256,san andres,12.5847,-81.7006,31.01,58,20,6.17,CO,1681843219
257,suwayr,30.1171,40.3893,27.52,25,5,4.32,SA,1681843510
258,mutterstadt,49.4414,8.3561,13.98,62,0,5.66,DE,1681843510
259,cikampek,-6.4197,107.4558,24.68,91,100,1.03,ID,1681843511
260,fort mcmurray,56.7268,-111.381,2.77,87,100,4.12,CA,1681843302
261,macau,22.2006,113.5461,27.89,100,40,1.54,MO,1681843250
262,sinan,34.8262,126.1086,16.06,100,100,2.17,KR,1681843513
263,tazovsky,67.4667,78.7,-15.0,91,63,4.1,RU,1681843514
264,quibdo,5.6947,-76.6611,32.35,58,76,0.87,CO,1681843515
265,gebeit,21.0667,36.3167,24.27,20,0,2.26,SD,1681843515
266,opuwo,-18.0607,13.84,23.18,44,64,3.04,NA,1681843515
267,nemuro,43.3236,145.575,3.11,85,99,1.5,JP,1681843516
268,jamestown,42.097,-79.2353,2.77,76,100,8.49,US,1681843418
269,rajin,42.2489,130.3003,6.9,39,0,2.59,KP,1681843516
270,apaxtla de castrejon,18.15,-99.8667,31.84,22,3,3.05,MX,1681843516
271,leongatha,-38.4833,145.95,13.19,89,100,1.85,AU,1681843517
272,san gabriel,34.0961,-118.1058,19.95,62,75,3.09,US,1681843370
273,khandyga,62.6667,135.6,-7.05,98,100,0.41,RU,1681843517
274,sisimiut,66.9395,-53.6735,-5.04,80,100,5.58,GL,1681843517
275,gutierrez zamora,20.45,-97.0833,29.9,68,20,4.65,MX,1681843517
276,suntar,62.1444,117.6319,-17.75,99,35,0.99,RU,1681843518
277,dunay,42.8803,132.3375,3.39,91,43,2.91,RU,1681843518
